select?,countyname,state,concat,max_pop_FIPS,FIPS,dist_from_maxpop,dist_cat,meat_plant,population,cases,deaths
Y,Adams,Colorado,AdamsColorado,8031,8001,30.14,3,N,517421,274,4
N,Adams,Nebraska,AdamsNebraska,31055,31001,133.73,4,N,31363,223,3
N,Adams,Pennsylvania,AdamsPennsylvania,42101,42001,110.84,4,N,103009,34,0
N,Aitkin,Minnesota,AitkinMinnesota,27053,27001,110.33,4,N,15886,0,0
N,Alamosa,Colorado,AlamosaColorado,8031,8003,159.26,5,N,16233,2,0
N,Alcona,Michigan,AlconaMichigan,26163,26001,167.06,5,N,10405,0,0
N,Alger,Michigan,AlgerMichigan,26163,26003,368.83,6,N,9108,0,0
N,Allegan,Michigan,AlleganMichigan,26163,26005,173.3,5,N,118081,28,1
N,Allegheny,Pennsylvania,AlleghenyPennsylvania,42101,42003,257.6,5,N,1216045,276,17
N,Alpena,Michigan,AlpenaMichigan,26163,26007,180.54,5,N,28405,21,0
N,Anderson,Texas,AndersonTexas,48113,48001,91.34,4,N,57735,8,0
N,Andrews,Texas,AndrewsTexas,48113,48003,342.83,6,N,18705,3,0
N,Angelina,Texas,AngelinaTexas,48113,48005,164.56,5,N,86715,9,0
Y,Anoka,Minnesota,AnokaMinnesota,27053,27003,21.71,2,N,356921,85,8
N,Antelope,Nebraska,AntelopeNebraska,31055,31003,115.68,4,N,6298,5,0
N,Antrim,Michigan,AntrimMichigan,26163,26009,210.92,5,N,23324,3,0
N,Aransas,Texas,AransasTexas,48113,48007,322.38,6,N,23510,0,0
Y,Arapahoe,Colorado,ArapahoeColorado,8031,8005,30.28,3,N,656590,512,25
N,Archer,Texas,ArcherTexas,48113,48009,125,4,N,8553,0,0
N,Archuleta,Colorado,ArchuletaColorado,8031,8007,212.23,5,N,14029,2,0
N,Arenac,Michigan,ArenacMichigan,26163,26011,123.45,4,N,14883,2,0
N,Armstrong,Pennsylvania,ArmstrongPennsylvania,42101,42005,234.47,5,N,64735,12,0
N,Armstrong,Texas,ArmstrongTexas,48113,48011,303.32,6,N,1887,0,0
N,Arthur,Nebraska,ArthurNebraska,31055,31005,287.7,5,N,463,0,0
N,Atascosa,Texas,AtascosaTexas,48113,48013,286.99,5,N,51153,4,0
N,Aurora,South Dakota,AuroraSouth Dakota,46099,46003,89.1,4,N,2751,1,0
N,Austin,Texas,AustinTexas,48113,48015,200.9,5,N,30032,1,0
N,Baca,Colorado,BacaColorado,8031,8009,211.94,5,N,3581,0,0
N,Bailey,Texas,BaileyTexas,48113,48017,360.34,6,N,7000,0,0
N,Bandera,Texas,BanderaTexas,48113,48019,254.5,5,N,23112,0,0
N,Banner,Nebraska,BannerNebraska,31055,31007,392.57,6,N,745,0,0
N,Baraga,Michigan,BaragaMichigan,26163,26013,394.72,6,N,8209,0,0
N,Barry,Michigan,BarryMichigan,26163,26015,106.68,4,N,61550,8,0
N,Bastrop,Texas,BastropTexas,48113,48021,186.72,5,N,88723,19,0
N,Baylor,Texas,BaylorTexas,48113,48023,151.71,5,N,3509,0,0
N,Bay,Michigan,BayMichigan,26163,26017,104.26,4,N,103126,34,0
N,Beadle,South Dakota,BeadleSouth Dakota,46099,46005,90.11,4,N,18453,2,0
N,Beaver,Pennsylvania,BeaverPennsylvania,42101,42007,278.62,5,N,163929,91,8
N,Becker,Minnesota,BeckerMinnesota,27053,27005,172.2,5,N,34423,3,0
N,Bedford,Pennsylvania,BedfordPennsylvania,42101,42009,177.64,5,N,47888,2,0
N,Bee,Texas,BeeTexas,48113,48025,306.03,6,N,32565,1,0
N,Bell,Texas,BellTexas,48113,48027,126.12,4,N,362924,31,1
N,Beltrami,Minnesota,BeltramiMinnesota,27053,27007,211.12,5,N,47188,1,0
N,Bennett,South Dakota,BennettSouth Dakota,46099,46007,247.14,5,N,3365,0,0
N,Bent,Colorado,BentColorado,8031,8011,159.37,5,N,5577,0,0
N,Benton,Minnesota,BentonMinnesota,27053,27009,54.4,3,N,40889,16,0
N,Benzie,Michigan,BenzieMichigan,26163,26019,230.07,5,N,17766,3,0
N,Berks,Pennsylvania,BerksPennsylvania,42101,42011,50.34,3,N,421164,533,48
N,Berrien,Michigan,BerrienMichigan,26163,26021,181.76,5,N,153401,58,2
N,Bexar,Texas,BexarTexas,48113,48029,251.35,5,N,2003554,239,3
N,Big Stone,Minnesota,Big StoneMinnesota,27053,27011,145.3,4,N,4991,0,0
N,Blaine,Nebraska,BlaineNebraska,31055,31009,202.88,5,N,465,0,0
N,Blair,Pennsylvania,BlairPennsylvania,42101,42013,170.9,5,N,121829,7,0
N,Blanco,Texas,BlancoTexas,48113,48031,197.46,5,N,11931,0,0
N,Blue Earth,Minnesota,Blue EarthMinnesota,27053,27013,72.89,3,N,67653,8,0
N,Bon Homme,South Dakota,Bon HommeSouth Dakota,46099,46009,72.23,3,N,6901,1,0
N,Boone,Nebraska,BooneNebraska,31055,31011,102.92,4,N,5192,2,0
N,Borden,Texas,BordenTexas,48113,48033,270.45,5,N,654,0,0
N,Bosque,Texas,BosqueTexas,48113,48035,78.09,4,N,18685,3,0
Y,Boulder,Colorado,BoulderColorado,8031,8013,35.8,3,N,326196,115,2
N,Bowie,Texas,BowieTexas,48113,48037,144.2,4,N,93245,18,0
N,Box Butte,Nebraska,Box ButteNebraska,31055,31013,362.87,6,N,10783,1,0
N,Boyd,Nebraska,BoydNebraska,31055,31015,173.79,5,N,1919,0,0
N,Bradford,Pennsylvania,BradfordPennsylvania,42101,42015,142.37,4,N,60323,10,0
N,Branch,Michigan,BranchMichigan,26163,26023,95.9,4,N,43517,17,1
N,Brazoria,Texas,BrazoriaTexas,48113,48039,261.1,5,N,374264,114,2
N,Brazos,Texas,BrazosTexas,48113,48041,148.46,4,N,229211,22,3
N,Brewster,Texas,BrewsterTexas,48113,48043,433.34,6,N,9203,0,0
N,Briscoe,Texas,BriscoeTexas,48113,48045,282.11,5,N,1546,0,0
N,Brookings,South Dakota,BrookingsSouth Dakota,46099,46011,49,3,N,35077,0,0
N,Brooks,Texas,BrooksTexas,48113,48047,405.27,6,N,7093,0,0
N,Broomfield,Colorado,BroomfieldColorado,8031,8014,16.06,2,N,70465,33,4
N,Brown,Minnesota,BrownMinnesota,27053,27015,81.14,4,N,25008,4,0
N,Brown,Nebraska,BrownNebraska,31055,31017,207.22,5,N,2955,0,0
Y,Brown,South Dakota,BrownSouth Dakota,46099,46013,153.25,5,Y,38839,25,0
N,Brown,Texas,BrownTexas,48113,48049,147.05,4,N,37864,14,1
N,Brule,South Dakota,BruleSouth Dakota,46099,46015,114.83,4,N,5297,0,0
Y,Bucks,Pennsylvania,BucksPennsylvania,42101,42017,22.67,2,Y,628270,653,61
N,Buffalo,Nebraska,BuffaloNebraska,31055,31019,155.16,5,N,49659,121,1
N,Buffalo,South Dakota,BuffaloSouth Dakota,46099,46017,122.77,4,N,1962,0,0
N,Burleson,Texas,BurlesonTexas,48113,48051,157.35,5,N,18443,3,0
N,Burnet,Texas,BurnetTexas,48113,48053,160.15,5,N,48155,8,0
N,Burt,Nebraska,BurtNebraska,31055,31021,39.64,3,N,6459,6,0
N,Butler,Nebraska,ButlerNebraska,31055,31023,51.03,3,N,8016,16,0
N,Butler,Pennsylvania,ButlerPennsylvania,42101,42019,259.18,5,N,187853,45,1
N,Butte,South Dakota,ButteSouth Dakota,46099,46019,342.3,6,N,10429,0,0
N,Caldwell,Texas,CaldwellTexas,48113,48055,208.37,5,N,43664,4,0
N,Calhoun,Michigan,CalhounMichigan,26163,26025,89.55,4,N,134159,48,2
N,Calhoun,Texas,CalhounTexas,48113,48057,298.82,5,N,21290,5,0
N,Callahan,Texas,CallahanTexas,48113,48059,154.6,5,N,13943,0,0
N,Cambria,Pennsylvania,CambriaPennsylvania,42101,42021,191.82,5,N,130192,10,0
N,Cameron,Pennsylvania,CameronPennsylvania,42101,42023,188.41,5,N,4447,0,0
N,Cameron,Texas,CameronTexas,48113,48061,462.36,6,N,423163,89,3
N,Campbell,South Dakota,CampbellSouth Dakota,46099,46021,215.67,5,N,1376,0,0
N,Camp,Texas,CampTexas,48113,48063,105.4,4,N,13094,2,0
N,Carbon,Pennsylvania,CarbonPennsylvania,42101,42025,69.69,3,N,64182,30,0
N,Carlton,Minnesota,CarltonMinnesota,27053,27017,116.99,4,N,35871,24,0
N,Carson,Texas,CarsonTexas,48113,48065,319.04,6,N,5926,1,0
N,Carver,Minnesota,CarverMinnesota,27053,27019,20.4,2,N,105089,15,0
N,Cass,Michigan,CassMichigan,26163,26027,142.62,4,N,51787,7,1
N,Cass,Minnesota,CassMinnesota,27053,27021,140.59,4,N,29779,1,0
N,Cass,Nebraska,CassNebraska,31055,31025,26.76,3,N,26248,11,0
N,Cass,Texas,CassTexas,48113,48067,142.09,4,N,30026,4,0
N,Castro,Texas,CastroTexas,48113,48069,337.95,6,N,7530,3,0
N,Cedar,Nebraska,CedarNebraska,31055,31027,106.63,4,N,8402,5,0
N,Centre,Pennsylvania,CentrePennsylvania,42101,42027,155.65,5,N,162385,21,0
N,Chaffee,Colorado,ChaffeeColorado,8031,8015,104.44,4,N,20356,34,4
N,Chambers,Texas,ChambersTexas,48113,48071,245.59,5,N,43837,11,0
N,Charles Mix,South Dakota,Charles MixSouth Dakota,46099,46023,95.74,4,N,9292,0,0
N,Charlevoix,Michigan,CharlevoixMichigan,26163,26029,248.23,5,N,26143,3,0
N,Chase,Nebraska,ChaseNebraska,31055,31029,294.03,5,N,3924,0,0
N,Cheboygan,Michigan,CheboyganMichigan,26163,26031,228.89,5,N,25276,2,1
N,Cherokee,Texas,CherokeeTexas,48113,48073,114.19,4,N,52646,2,0
N,Cherry,Nebraska,CherryNebraska,31055,31031,267.56,5,N,5689,1,0
N,Chester,Pennsylvania,ChesterPennsylvania,42101,42029,32.72,3,N,524989,366,25
N,Cheyenne,Colorado,CheyenneColorado,8031,8017,137.5,4,N,1831,0,0
N,Cheyenne,Nebraska,CheyenneNebraska,31055,31033,356.17,6,N,8910,8,0
N,Childress,Texas,ChildressTexas,48113,48075,231.81,5,N,7306,0,0
N,Chippewa,Michigan,ChippewaMichigan,26163,26033,285.79,5,N,37349,0,0
N,Chippewa,Minnesota,ChippewaMinnesota,27053,27023,102.04,4,Y,11800,1,0
N,Chisago,Minnesota,ChisagoMinnesota,27053,27025,44.3,3,N,56579,4,0
N,Clare,Michigan,ClareMichigan,26163,26035,142.19,4,N,30950,1,0
N,Clarion,Pennsylvania,ClarionPennsylvania,42101,42031,239.39,5,N,38438,5,0
N,Clark,South Dakota,ClarkSouth Dakota,46099,46025,94.07,4,N,3736,1,0
Y,Clay,Minnesota,ClayMinnesota,27053,27027,195.26,5,N,64222,58,1
N,Clay,Nebraska,ClayNebraska,31055,31035,112.54,4,N,6203,11,0
N,Clay,South Dakota,ClaySouth Dakota,46099,46027,52.94,3,N,14070,2,0
N,Clay,Texas,ClayTexas,48113,48077,108.73,4,N,10471,1,0
N,Clear Creek,Colorado,Clear CreekColorado,8031,8019,42.29,3,N,9700,3,1
N,Clearfield,Pennsylvania,ClearfieldPennsylvania,42101,42033,188.35,5,N,79255,3,0
N,Clearwater,Minnesota,ClearwaterMinnesota,27053,27029,199.28,5,N,8818,0,0
N,Clinton,Michigan,ClintonMichigan,26163,26037,81.77,4,N,79595,13,1
N,Clinton,Pennsylvania,ClintonPennsylvania,42101,42035,157.14,5,N,38632,3,0
N,Cochran,Texas,CochranTexas,48113,48079,354.69,6,N,2853,0,0
N,Codington,South Dakota,CodingtonSouth Dakota,46099,46029,91.93,4,N,28009,2,0
N,Coke,Texas,CokeTexas,48113,48081,233.42,5,N,3387,0,0
N,Coleman,Texas,ColemanTexas,48113,48083,161.08,5,N,8175,0,0
N,Colfax,Nebraska,ColfaxNebraska,31055,31037,52.11,3,N,10709,413,0
N,Collingsworth,Texas,CollingsworthTexas,48113,48087,251.38,5,N,2920,0,0
N,Collin,Texas,CollinTexas,48113,48085,31.7,3,N,1034730,205,6
N,Colorado,Texas,ColoradoTexas,48113,48089,219.68,5,N,21493,6,0
N,Columbia,Pennsylvania,ColumbiaPennsylvania,42101,42037,97.88,4,N,64964,59,8
N,Comal,Texas,ComalTexas,48113,48091,222.57,5,N,156209,13,1
N,Comanche,Texas,ComancheTexas,48113,48093,117.72,4,N,13635,1,0
N,Concho,Texas,ConchoTexas,48113,48095,206.53,5,N,2726,0,0
N,Conejos,Colorado,ConejosColorado,8031,8021,189.51,5,N,8205,0,0
N,Cooke,Texas,CookeTexas,48113,48097,65.23,3,N,41257,1,0
N,Cook,Minnesota,CookMinnesota,27053,27031,231.81,5,N,5463,0,0
N,Corson,South Dakota,CorsonSouth Dakota,46099,46031,256.84,5,N,4086,0,0
N,Coryell,Texas,CoryellTexas,48113,48099,112.24,4,N,75951,45,0
N,Costilla,Colorado,CostillaColorado,8031,8023,174.19,5,N,3887,0,0
N,Cottle,Texas,CottleTexas,48113,48101,221.49,5,N,1398,2,1
N,Cottonwood,Minnesota,CottonwoodMinnesota,27053,27033,108.68,4,Y,11196,3,0
N,Crane,Texas,CraneTexas,48113,48103,346.8,6,N,4797,0,0
N,Crawford,Michigan,CrawfordMichigan,26163,26039,178.8,5,N,14029,21,1
N,Crawford,Pennsylvania,CrawfordPennsylvania,42101,42039,284.6,5,N,84629,2,0
N,Crockett,Texas,CrockettTexas,48113,48105,306.43,6,N,3464,0,0
N,Crosby,Texas,CrosbyTexas,48113,48107,267.75,5,N,5737,0,0
N,Crow Wing,Minnesota,Crow WingMinnesota,27053,27035,106.55,4,N,65055,3,0
N,Crowley,Colorado,CrowleyColorado,8031,8025,115.49,4,N,6061,0,0
N,Culberson,Texas,CulbersonTexas,48113,48109,462.47,6,N,2171,0,0
N,Cumberland,Pennsylvania,CumberlandPennsylvania,42101,42041,113.11,4,N,253370,64,6
N,Cuming,Nebraska,CumingNebraska,31055,31039,53.87,3,N,8846,0,0
N,Custer,Colorado,CusterColorado,8031,8027,117.7,4,N,5068,1,0
N,Custer,Nebraska,CusterNebraska,31055,31041,185.43,5,N,10777,27,3
N,Custer,South Dakota,CusterSouth Dakota,46099,46033,333.05,6,N,8972,0,0
Y,Dakota,Minnesota,DakotaMinnesota,27053,27037,30.74,3,Y,429021,77,2
Y,Dakota,Nebraska,DakotaNebraska,31055,31043,78.42,4,N,20026,1342,3
N,Dallam,Texas,DallamTexas,48113,48111,410.62,6,N,7287,2,0
Y,Dallas,Texas,DallasTexas,48113,48113,0,1,Y,2635516,907,15
N,Dauphin,Pennsylvania,DauphinPennsylvania,42101,42043,91.88,4,N,278299,141,3
N,Davison,South Dakota,DavisonSouth Dakota,46099,46035,67.98,3,N,19775,2,0
N,Dawes,Nebraska,DawesNebraska,31055,31045,371.37,6,N,8589,1,0
N,Dawson,Nebraska,DawsonNebraska,31055,31047,192.95,5,N,23595,705,0
N,Dawson,Texas,DawsonTexas,48113,48115,300.33,6,N,12728,5,1
N,Day,South Dakota,DaySouth Dakota,46099,46037,123.52,4,N,5424,4,0
N,Deaf Smith,Texas,Deaf SmithTexas,48113,48117,366.56,6,N,18546,9,0
N,Delaware,Pennsylvania,DelawarePennsylvania,42101,42045,15.45,2,N,566747,873,89
N,Delta,Colorado,DeltaColorado,8031,8029,171.21,5,N,31162,5,0
N,Delta,Michigan,DeltaMichigan,26163,26041,302.97,6,N,35784,4,0
N,Delta,Texas,DeltaTexas,48113,48119,76.96,4,N,5331,1,0
N,Denton,Texas,DentonTexas,48113,48121,36.13,3,N,887207,170,6
Y,Denver,Colorado,DenverColorado,8031,8031,0,1,Y,727211,637,25
N,Deuel,Nebraska,DeuelNebraska,31055,31049,321.36,6,N,1794,0,0
N,Deuel,South Dakota,DeuelSouth Dakota,46099,46039,75.41,4,N,4351,0,0
N,Dewey,South Dakota,DeweySouth Dakota,46099,46041,224.86,5,N,5892,0,0
N,DeWitt,Texas,DeWittTexas,48113,48123,256.92,5,N,20160,14,1
N,Dickens,Texas,DickensTexas,48113,48125,239,5,N,2211,0,0
N,Dickinson,Michigan,DickinsonMichigan,26163,26043,344.05,6,N,25239,0,0
N,Dimmit,Texas,DimmitTexas,48113,48127,348.71,6,N,10124,0,0
N,Dixon,Nebraska,DixonNebraska,31055,31051,89.68,4,N,5636,24,0
N,Dodge,Minnesota,DodgeMinnesota,27053,27039,74.34,3,N,20934,3,0
N,Dodge,Nebraska,DodgeNebraska,31055,31053,31.98,3,N,36565,147,0
N,Dolores,Colorado,DoloresColorado,8031,8033,240.88,5,N,2055,0,0
N,Donley,Texas,DonleyTexas,48113,48129,276.57,5,N,3278,6,0
Y,Douglas,Colorado,DouglasColorado,8031,8035,30.18,3,N,351154,105,7
N,Douglas,Minnesota,DouglasMinnesota,27053,27041,115.69,4,N,38141,2,0
Y,Douglas,Nebraska,DouglasNebraska,31055,31055,0,1,Y,571327,1501,14
N,Douglas,South Dakota,DouglasSouth Dakota,46099,46043,80.57,4,N,2921,0,0
N,Dundy,Nebraska,DundyNebraska,31055,31057,299.4,5,N,1693,0,0
N,Duval,Texas,DuvalTexas,48113,48131,366.06,6,N,11157,2,0
N,Eagle,Colorado,EagleColorado,8031,8037,96.77,4,N,55127,99,2
N,Eastland,Texas,EastlandTexas,48113,48133,123.7,4,N,18360,0,0
N,Eaton,Michigan,EatonMichigan,26163,26045,83.5,4,N,110268,28,0
N,Ector,Texas,EctorTexas,48113,48135,342.24,6,N,166223,30,0
N,Edmunds,South Dakota,EdmundsSouth Dakota,46099,46045,169.12,5,N,3829,0,0
N,Edwards,Texas,EdwardsTexas,48113,48137,283.26,5,N,1932,0,0
Y,El Paso,Colorado,El PasoColorado,8031,8041,67.27,3,N,720403,230,11
N,El Paso,Texas,El PasoTexas,48113,48141,556.97,6,N,839238,248,5
N,Elbert,Colorado,ElbertColorado,8031,8039,51.21,3,N,26729,1,0
N,Elk,Pennsylvania,ElkPennsylvania,42101,42047,208.76,5,N,29910,3,1
Y,Ellis,Texas,EllisTexas,48113,48139,29.02,3,N,184826,42,3
N,Emmet,Michigan,EmmetMichigan,26163,26047,243.96,5,N,33415,10,0
N,Erath,Texas,ErathTexas,48113,48143,91.73,4,N,42698,3,0
N,Erie,Pennsylvania,EriePennsylvania,42101,42049,296.7,5,N,269728,16,0
N,Fall River,South Dakota,Fall RiverSouth Dakota,46099,46047,338.24,6,N,6713,0,0
N,Falls,Texas,FallsTexas,48113,48145,105.08,4,N,17297,1,0
N,Fannin,Texas,FanninTexas,48113,48147,68.99,3,N,35514,3,0
N,Faribault,Minnesota,FaribaultMinnesota,27053,27043,94.78,4,N,13653,2,0
N,Faulk,South Dakota,FaulkSouth Dakota,46099,46049,151.29,5,N,2299,1,0
N,Fayette,Pennsylvania,FayettePennsylvania,42101,42051,238.97,5,N,129274,15,1
N,Fayette,Texas,FayetteTexas,48113,48149,199.8,5,N,25346,10,0
N,Fillmore,Minnesota,FillmoreMinnesota,27053,27045,114.41,4,N,21067,2,0
N,Fillmore,Nebraska,FillmoreNebraska,31055,31059,92.3,4,N,5462,3,0
N,Fisher,Texas,FisherTexas,48113,48151,210.62,5,N,3830,0,0
N,Floyd,Texas,FloydTexas,48113,48153,276.09,5,N,5712,1,0
N,Foard,Texas,FoardTexas,48113,48155,192.27,5,N,1155,0,0
N,Forest,Pennsylvania,ForestPennsylvania,42101,42053,239.14,5,N,7247,1,0
N,Fort Bend,Texas,Fort BendTexas,48113,48157,231.67,5,N,811688,268,9
N,Franklin,Nebraska,FranklinNebraska,31055,31061,165.92,5,N,2979,5,0
N,Franklin,Pennsylvania,FranklinPennsylvania,42101,42055,137.32,4,N,155027,82,3
N,Franklin,Texas,FranklinTexas,48113,48159,94.7,4,N,10725,0,0
N,Freeborn,Minnesota,FreebornMinnesota,27053,27047,92.23,4,N,30281,7,0
N,Freestone,Texas,FreestoneTexas,48113,48161,82.41,4,N,19717,2,0
N,Fremont,Colorado,FremontColorado,8031,8043,94.79,4,N,47839,10,0
N,Frio,Texas,FrioTexas,48113,48163,302.7,6,N,20306,11,0
N,Frontier,Nebraska,FrontierNebraska,31055,31063,228.24,5,N,2627,1,0
